Taxa,C1,RLGA,log_cuberoot_mass
Mustela_nigripes,0.7597084,0.5098306,-0.03250086
Mustela_nivalis,0.728367,0.7510005,-0.848431267
Mustela_nudipes,0.8144271,0.5301799,-0.187712327
Mustela_putorius,0.7590271,0.5206095,-0.008251288
Mustela_sibirica,0.7448446,0.5591294,-0.211091928
Mustela_strigidorsa,0.7598425,0.5382687,0.135155036
Mydaus_javanensis,0.6605681,1.2207607,0.305430244
Mydaus_marchei,0.8331849,1.2109243,0.305430244
Nandinia_binotata,0.6982521,0.8061497,0.257812004
Nasua_narica,0.5609063,1.8983561,0.507118715
Nasua_nasua,0.5293396,1.9676313,0.442844275
Nasuella_olivacea,0.4391159,2.1752936,0.09755405
Neofelis_nebulosa,0.7351076,0,0.901460047
Mustela_vison,0.7620002,0.7066534,-0.003550002
Nyctereutes_procyonoides,0.6745904,0.9488082,0.479549073
Otocolobus_manul,0.7625272,0,0.371713864
Paguma_larvata,0.6756425,1.1686176,0.486205008
Panthera_leo,0.6990918,0,1.688845394
Panthera_onca,0.8037028,0,1.476713023
Panthera_pardus,0.7745856,0,1.319635467
Panthera_tigris,0.7455189,0,1.695689802
Paracynictis_selousi,0.6556793,1.1997076,0.170885316
Paradoxurus_hermaphroditus,0.7192359,1.267533,0.387716937
Paradoxurus_zeylonensis,0.6957542,1.1393177,0.345732591
Parahyaena_brunnea,0.7632871,0.2924467,1.253562243
Pardofelis_badia,0.7691354,0,0.41080677
Pardofelis_marmorata,0.6756065,0,0.346367626
Pardofelis_temminckii,0.7764037,0,0.681550267
Poecilogale_albinucha,0.7559599,0.5050564,-0.392378717
Potos_flavus,0.7041779,2.3164313,0.297579856
Prionailurus_bengalensis,0.7537695,0,0.340933263
Prionailurus_planiceps,0.7519321,0,0.420787487
Prionailurus_rubiginosus,0.7744328,0,0.116592067
Prionailurus_viverrinus,0.7688625,0,0.725918009
Prionodon_linsang,0.6281003,0.4575292,-0.126194882
Prionodon_pardicolor,0.705365,0.4323934,0.044458794
Procyon_cancrivorus,0.816279,1.6072135,0.645369326
Procyon_lotor,0.7312342,1.6235198,0.617394429
Pseudalopex_culpaeus,0.6643162,0.7791104,0.717882932
Pseudalopex_fulvipes,0.6040721,0.8959712,0.38072431
Pseudalopex_griseus,0.6629125,0.8759877,0.283952957
Pseudalopex_gymnocercus,0.6388047,0.8986358,0.504504982
Pseudalopex_sechurae,0.6572616,1.0210425,0.481049058
Pseudalopex_vetulus,0.7127883,1.143079,0.481007329
Pteronura_brasiliensis,0.8000616,0.911731,1.086032179
Puma_concolor,0.8235434,0,1.329377586
Puma_yaguarondi,0.7738248,0,0.642630548
Rhynchogale_melleri,0.8762796,1.8319716,0.268874392
Salanoia_concolor,0.6631957,1.2145225,-0.113464639
Speothos_venaticus,0.704419,0.5633992,0.614812435
Spilogale_gracilis,0.7130666,0.9526707,-0.287116399
Spilogale_putorius,0.7509006,1.0332975,-0.18943195
Suricata_suricatta,0.7028625,1.2376938,-0.104908148
Taxidea_taxus,0.8155742,0.9920533,0.686504344
Tremarctos_ornatus,0.6487104,1.5371211,1.604540701
Panthera_uncia,0.8215586,0,1.160413363
Urocyon_cinereoargenteus,0.6577823,0.9699766,0.447944334
Urocyon_littoralis,0.6527005,0.9468047,0.217962156
Ursus_americanus,0.6505535,1.7941976,1.568338507
Ursus_arctos,0.7045499,1.6561096,1.75986014
Ursus_maritimus,0.7469236,1.4780226,1.972699109
Ursus_thibetanus,0.6781084,1.5463843,1.534102665
Viverra_megaspila,0.6686629,0.8840647,0.638250489
Viverra_tangalunga,0.6736476,1.0252915,0.664899651
Viverra_zibetha,0.7079572,0.9415484,0.737873148
Viverricula_indica,0.7803486,1.0553015,0.35706666
Vormela_peregusna,0.7612379,0.6706857,-0.173552376
Vulpes_chama,0.6887985,0.9522351,0.357171707
Vulpes_ferrilata,0.6936508,0.7318506,0.570889788
Vulpes_lagopus,0.6352443,0.6907301,0.425527575
Vulpes_rueppelli,0.6376691,0.8869508,0.392881922
Vulpes_velox,0.6629342,0.7501069,0.245402223
Vulpes_vulpes,0.6442651,0.7758084,0.524282871
Vulpes_zerda,0.6771481,1.0560992,0.091818376
